,MovieCode,MovieName,CompanyName,BestScreenNum,AverageShare,TotalScreenNum,TotalAudienceNum
211,20189743,파이널 포트레이트,(주)팝엔터테인먼트  Pop Entertainment,55,0.0117,155,9778
212,20189067,미쓰백,(주)리틀빅픽쳐스  Little Big Pictures,671,0.10039,13793,715194
213,20189123,곰돌이 푸 다시 만나 행복해,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,536,0.07201923076923077,8781,488795
214,20177221,베놈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,1306,0.18186428571428576,23721,3873546
215,20180523,스타 이즈 본,워너브러더스 코리아(주)  Warner Bros. Korea,555,0.06536857142857141,10404,465822
216,20180770,다이노 어드벤처2: 육해공 공룡 대백과,(주)박수엔터테인먼트  Boxoo Entertainment  ,322,0.05906666666666666,904,34822
217,20180931,극장판 가면라이더 이그제이드: 트루 엔딩,(주)이수C&E  ,326,0.05935,614,18318
218,20189331,리즈와 파랑새,(주)디스테이션  ,214,0.04335,401,8679
219,20187521,펭귄 하이웨이,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,338,0.05149999999999999,1273,25631
220,20147727,그랜드 부다페스트 호텔,(주)피터팬픽쳐스  Peterpan Pictures,38,0.007542857142857143,236,799351
221,20184678,배반의 장미,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",457,0.0753875,2823,38923
222,20188661,에브리데이,그린나래미디어(주)  ,128,0.026600000000000002,851,26937
223,20181262,노크: 초대받지 않은 손님,(주)삼백상회  ,266,0.05212857142857143,1675,23371
224,20180624,킨: 더 비기닝,판씨네마(주)  Pancinema Corp.,151,0.03315,296,5294
225,20186321,퍼스트맨,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,1190,0.16874285714285714,10873,650340
226,20174981,창궐,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1351,0.15490909090909089,15141,1595111
227,20180628,액슬,(주)팝엔터테인먼트  Pop Entertainment,142,0.02725,283,12152
228,20189281,폴란드로 간 아이들,커넥트픽쳐스(주)  CONNECT PICTURES INC.,181,0.027200000000000002,368,21866
229,20177538,완벽한 타인,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",1325,0.17631951219512207,32292,5166548
230,20010291,해리포터와 마법사의 돌,워너브러더스 코리아(주)  Warner Bros. Korea,33,0.00715,688,267950
231,20182403,크레이지 리치 아시안,워너브러더스 코리아(주)  Warner Bros. Korea,531,0.11161666666666666,2981,131883
232,20182748,알리바이 닷 컴,판씨네마(주)  Pancinema Corp.,10,0.0023,20,6334
233,20181669,윌리,㈜코리아스크린  Korea Screen Inc.,162,0.0339,320,16104
234,20185485,보헤미안 랩소디,이십세기폭스코리아(주)  20th Century Fox Korea,1179,0.21301944444444443,34641,6272631
235,20181404,벽 속에 숨은 마법시계,CGV아트하우스  CGV ARTHOUSE,609,0.09058333333333335,4945,211233
236,20180987,할로윈,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,536,0.09288750000000001,3424,101891
237,20181879,나츠메 우인장: 세상과 연을 맺다,(주)애니플러스  ANIPLUS,108,0.01575,143,38226
238,20181171,바울,(재)CBS  ,227,0.032433333333333335,4775,233863
239,20181367,캡틴 스터비,(주)디스테이션  ,272,0.0559,272,16745
240,20170513,동네사람들,(주)리틀빅픽쳐스  Little Big Pictures,731,0.11359333333333337,7276,458566
241,20189869,해피 투게더,플레이리스트(주)  ,240,0.0365,847,20989
242,20179006,여곡성,(주)스마일이엔티  Smile Ent.,212,0.04171428571428571,1206,64204
243,20184481,성난황소,(주)쇼박스  Showbox Corp,1010,0.11183181818181821,11219,1512048
244,20182693,구스범스: 몬스터의 역습,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,167,0.034800000000000005,465,21400
245,20183063,박물관이 진짜 살아있다,(주)팝엔터테인먼트  Pop Entertainment,252,0.05455,498,19771
246,20186822,너의 췌장을 먹고 싶어,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,319,0.053212499999999996,2035,41594
247,20176814,신비한 동물들과 그린델왈드의 범죄,워너브러더스 코리아(주)  Warner Bros. Korea,1601,0.18904090909090907,19130,2380663
248,20182935,출국,-,274,0.03895384615384616,2335,73029
249,20183050,번 더 스테이지: 더 무비,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,243,0.033178571428571425,2140,305364
250,20183009,로빈슨의 언더워터 어드벤처,(주)박수엔터테인먼트  Boxoo Entertainment  ,216,0.040999999999999995,429,12242
251,20177552,국가부도의 날,씨제이이앤엠(주)  CJ ENM Corp.,1180,0.13820833333333332,8175,1871787
252,20182669,툴리,(주)리틀빅픽쳐스  Little Big Pictures,161,0.029720000000000003,620,28033
253,20183073,베일리 어게인,(주)홈초이스  HOME CHOICE,189,0.03516666666666666,1935,80506
254,20183043,캡틴 샤키,예지림엔터테인먼트  ,175,0.038250000000000006,348,11106
255,20184514,꼬마비행기 피티와 친구들:사막구출 대작전,와이드 릴리즈(주)  Wide Release,212,0.04575,416,9413
256,20179230,도어락,메가박스중앙(주)플러스엠  Megabox Plus M,44,0.004399999999999999,95,20042
257,20181905,후드,(주)이수C&E  ,628,0.11874285714285715,4108,260575
258,20183007,거미줄에 걸린 소녀,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,313,0.05784285714285715,1999,30850
259,20182966,투 프렌즈,(주)박수엔터테인먼트  Boxoo Entertainment  ,273,0.04636666666666667,719,20419
260,20181764,모어 댄 블루,오드  AUD,11,0.0023,11,3710
